y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,1,23,3,1,19,3,325,109,16,5
1,2,15,3,1,17,3,306,107,24,2
0,1,23,3,2,49,3,338,110,22,7
0,1,5,2,2,33,3,337,111,36,9
0,2,7,11,2,55,3,292,105,32,3
0,2,23,3,1,20,3,308,82,20,5
1,2,9,5,2,19,3,283,90,31,5
0,2,10,3,2,27,3,301,95,5,8
0,1,22,3,1,58,3,277,96,32,4
0,2,15,3,1,20,3,338,107,36,1
1,2,10,22,2,9,3,295,113,12,7
1,2,13,1,2,30,3,303,83,39,3
0,2,18,21,2,29,3,322,82,5,8
1,2,6,17,2,39,3,306,116,26,5
0,2,6,17,2,42,2,293,118,7,7
1,2,6,17,2,43,2,281,112,40,4
1,2,7,11,2,10,2,319,114,27,10
1,2,22,3,2,46,2,270,103,8,10
1,2,13,3,1,10,2,337,86,33,8
1,2,7,25,2,42,2,314,87,31,10
1,2,25,7,2,27,2,329,94,7,1
0,2,25,7,2,23,2,312,87,8,7
0,2,2,9,2,31,2,277,88,38,10
1,2,1,15,1,22,2,272,89,1,10
0,2,15,13,2,37,2,339,99,6,9
0,2,7,11,2,13,2,290,110,5,6
0,2,8,3,2,24,2,315,96,25,9
1,2,14,15,2,38,2,297,107,39,4
1,2,21,2,2,42,1,294,82,19,5
0,2,22,3,2,28,1,335,81,31,7
0,2,11,1,2,51,1,321,108,0,5
1,2,18,5,2,19,1,311,98,3,8
0,2,13,1,2,31,1,327,120,6,5
1,1,13,3,1,13,1,270,100,3,1
0,2,5,2,2,37,1,274,91,2,5
0,2,16,8,2,36,1,285,94,12,9
0,2,4,16,2,21,1,333,81,30,9
1,2,5,2,2,48,1,277,115,16,3
0,2,14,15,2,38,1,293,91,36,6
0,1,23,3,1,19,3,328,100,10,1
0,2,15,3,1,17,3,326,80,22,2
1,1,23,3,2,49,3,318,107,7,7
0,1,5,2,2,33,3,326,87,11,4
0,2,7,11,2,55,3,276,107,32,6
1,2,23,3,1,20,3,332,87,24,8
0,2,9,5,2,19,3,311,110,26,4
0,2,10,3,2,27,3,301,116,14,3
0,1,22,3,2,58,3,319,91,19,5
0,2,15,3,1,20,3,340,80,4,1
1,2,10,22,2,9,3,285,88,4,10
1,2,13,1,2,30,3,328,100,14,4
1,2,18,21,2,29,3,337,85,3,6
1,2,6,17,2,39,3,306,111,6,1
1,2,6,17,2,42,2,292,116,11,5
1,2,6,17,2,43,2,272,83,5,9
1,2,7,11,2,10,2,319,97,8,4
0,2,22,3,2,46,2,308,80,4,6
0,2,13,3,1,10,2,338,86,31,5
0,2,7,25,2,42,2,310,84,11,7
1,2,25,7,2,27,2,273,100,27,2
0,2,25,7,2,23,2,292,97,34,2
1,2,2,9,2,31,2,280,97,5,2
0,2,1,15,1,22,2,270,115,12,9
0,2,15,13,2,37,2,322,119,22,2
0,2,7,11,2,13,2,315,102,23,5
1,2,8,3,2,24,2,321,81,32,5
1,2,14,15,2,38,2,289,93,11,8
0,2,21,2,2,42,1,321,118,33,3
0,2,22,3,2,28,1,323,114,10,4
1,2,11,1,2,51,1,300,118,34,8
1,2,18,5,2,19,1,305,103,24,8
1,2,13,1,2,31,1,297,80,5,6
1,1,13,3,1,13,1,329,118,21,2
1,2,5,2,2,37,1,325,108,5,8
1,2,16,8,2,36,1,322,119,9,6
1,2,4,16,2,21,1,286,109,35,5
1,2,5,2,2,48,1,333,101,7,3
0,2,14,15,2,38,1,321,91,1,8
1,1,23,3,1,25,3,301,112,21,9
