y,f1,f2,f3,f4,f5,f6
44328,20200829,716490,11151,1278,2060,1014
46546,20200828,725710,10428,1595,2086,1023
43984,20200827,698076,11168,1668,2125,1129
43356,20200826,631672,4081,1873,2142,1298
36374,20200825,597782,4091,1999,2163,1147
34641,20200824,648010,4143,1049,2118,343
37567,20200823,577947,4149,774,2131,572
46242,20200822,710293,4154,1537,2204,1029
46562,20200821,697054,4199,1817,2286,1123
43758,20200820,634078,4170,2010,2335,1134
44953,20200819,644823,4374,2032,2371,1420
40796,20200818,616859,4412,2273,2468,1196
37881,20200817,625846,4298,1267,2447,407
42487,20200816,740599,4302,649,2481,619
56148,20200815,693310,4452,2031,2526,1219
55635,20200814,798904,4415,2212,2549,1216
51760,20200813,843535,4239,2685,2579,1163
56132,20200812,439024,4174,3055,2604,1517
55702,20200811,698757,4118,2715,2415,1326
42089,20200810,693402,3966,1654,2533,426
50624,20200809,666939,3871,855,2507,616
53713,20200808,621980,3888,1414,2566,1089
61346,20200807,715719,3988,8036,2617,1333
54185,20200806,691399,3903,2682,2718,1251
52326,20200805,643615,3842,2269,2719,1346
51865,20200804,659553,3789,4490,2701,1255
49769,20200803,692703,3662,1724,2659,519
46756,20200802,643326,3888,817,2645,498
61102,20200801,673904,3975,2318,2698,1190
67624,20200731,657827,3956,2627,2703,1312
69419,20200730,737950,3947,3383,2760,1259
66960,20200729,789712,3840,2934,2772,1492
56452,20200728,681181,3600,4672,2752,1122
55321,20200727,707142,3398,1690,2720,1059
61009,20200726,780054,3361,1435,2723,559
64742,20200725,715969,3377,1977,2729,1023
75235,20200724,851205,3409,3032,2711,1176
71553,20200723,769521,3179,2509,2465,1055
69334,20200722,727105,3051,2248,2440,1171
63929,20200721,686361,3197,2551,2414,1038
57041,20200720,654148,3003,1647,2403,363
64259,20200719,715331,3052,944,2362,527
64950,20200718,691886,3032,2003,2343,872
76844,20200717,757657,3002,2678,2353,951
71036,20200716,756287,2929,2215,2317,947
65797,20200715,703090,2947,2416,2317,858
62726,20200714,702900,960,2262,2263,736
58097,20200713,636500,2610,1214,2259,327
61312,20200712,702394,2639,939,2182,476
62896,20200711,637755,2618,5141,2169,757
66846,20200710,742929,2493,2318,2197,854
59157,20200709,646844,2530,1719,2127,867
62672,20200708,575559,2360,2035,2172,807
51726,20200707,584171,2136,1960,2098,923
41918,20200706,471602,1907,794,2105,243
45613,20200705,633339,1885,590,2080,209
54338,20200704,577481,2083,871,1982,306
53950,20200703,654043,2237,1435,2049,598
54084,20200702,608354,2208,2003,2105,695
50981,20200701,589398,2604,1438,2098,701
47863,20200630,580152,2432,1582,2044,596
39811,20200629,615988,2194,670,2011,332
41572,20200628,535806,2198,580,2077,271
43784,20200627,555647,2186,1057,2159,511
44543,20200626,565494,2201,1526,2075,637
39249,20200625,602693,2133,1257,2214,647
38843,20200624,485049,2049,1310,2248,724
33447,20200623,469104,1891,1257,2293,710
27281,20200622,444089,2028,800,2299,286
27928,20200621,496049,2084,514,2321,294
32294,20200620,533304,2108,745,2380,629
31472,20200619,548107,2032,1613,2434,655
27744,20200618,491625,1903,1040,2520,705
24004,20200617,463168,1745,1130,2588,767
23497,20200616,442650,1604,1301,2594,730
18629,20200615,415390,1619,543,2640,381
21399,20200614,464154,1672,640,2716,356
25374,20200613,471388,1698,1105,2726,694
23599,20200612,599972,1783,1245,2734,775
22154,20200611,438062,1816,1367,2886,899
20894,20200610,408971,1737,1484,3020,887
17311,20200609,404379,1661,1527,3090,902
17209,20200608,380221,1606,714,3240,661
18741,20200607,404383,1733,685,3298,447
23064,20200606,521778,1796,1017,3476,728
23399,20200605,484686,1749,1440,3523,826
20877,20200604,441895,3474,-2841,3665,893
20396,20200603,448319,3556,2255,3749,993
20109,20200602,400600,4054,1585,3852,962
20483,20200601,393669,3455,2796,3950,668
21558,20200531,375191,3270,976,3669,652
23682,20200530,402861,1668,1424,4004,932
23573,20200529,465104,2978,1715,4032,1184
22631,20200528,413429,1906,1630,4080,1231
19437,20200527,290562,3132,1713,4222,1321
16752,20200526,291055,1549,17320,4215,645
18690,20200525,404718,3368,1002,4237,559
20046,20200524,361940,3860,921,4383,680
21530,20200523,369149,4084,1378,4620,1063
24573,20200522,385791,3709,4046,4716,1341
26605,20200521,436275,3641,4630,4868,1394
